name_as_recorded,role,name_agr,source_authority_uri,instance_of,authorized_label,structured_value,ds_qid
"Bolton, John",former owner,,,,,,
"Minns, Susan",former owner,,,,,,
"Bono Giamboni, approximately 1240-approximately 1292",author,,,,,,
"Jazūlī, Muḥammad ibn Sulaymān, 1404-1465",author,جزولي، محمد بن سليمان. 1404-1465,,,,,
"Boccaccio, Giovanni, 1313-1375",author,,,,,,
"Canonici, Matteo Luigi, 1727-1805",former owner,,,,,,
"Sneyd, Walter, 1809-1888",former owner,,http://id.loc.gov/authorities/names/n90636281,,,,
"Simkhovitch, Vladimir G. 1874-1959",former owner,,,,,,
"Smith, G. D",former owner,,,,,,
"Otto III, Holy Roman Emperor, 980-1002",author,,http://id.loc.gov/authorities/names/n84143829,,,,
"Payne, J. T",former owner,,,,,,
"Medlicott, William Gibbons, 1816-1883",former owner,,,,,,
"Basilica of Ss. Bonifacio e Alessio all'Aventino (Rome, Italy)",former owner,,,organization,,,
YaʼItyop̣yā ʼortodoks tawāḥedo béta kerestiyān,author,,,,,,
"Gventer, Bruce",former owner,,,,,,
"Petrarca, Francesco, 1304-1374",author,,,,,,
"Plimpton, George A. 1855-1936",former owner,,,,,,
"Plimpton, Francis T. P. 1900-1983",former owner,,,,,,
"Charles V, Holy Roman Emperor, 1500-1558",author,,,,,,
"Tagore, Rabindranath, 1861-1941",author,,,,,,
"Martini, J",former owner,,,,,,
"Jalāl al-Dīn Rūmī, Maulana, 1207-1273",author,جلال الدين رومى، مولانا. 1207-1273,,,,,
"Marcaldi, Francesco, active 16th century",author,,http://id.loc.gov/authorities/names/no2009086989,,,,
"Thomson, J., active 1838",former owner,,,,,,
"Wilde, Richard Henry, 1789-1847",former owner,,,,,,
"Wilde, William Cumming, 1823-1861",former owner,,,,,,
Rucellai family,former owner,,,organization,,,
"Alberti, Leon Battista, 1404-1472",author,,,,,,
"Cora, Luigi",former owner,,,,,,
"Crychton, David, Vicar",author,,,,,,
"Elizabeth I, Queen of England, 1533-1603",author,,,,,,
"Richard, of Saint-Laurant, -1174",author,,,,,,
"Hazard, Margaret R., 1834-1895",former owner,,,,,,
"Hazard, Rowland, 1829-1898",former owner,,,,,,
Ali al-Khlusi,author,,,,,,
Muhammad Hilmi,author,,,,,,
"Peter Damian, Saint, 1007?-1072",author,,,,,,
"Phillipps, Thomas, Sir, 1792-1872",former owner,,http://id.loc.gov/authorities/names/n50078542,,,,
"Donatus, Tiberius Claudius",author,,,,,,
"Dyckman, Fannie Fredericka, -1951",former owner,,,,,,
"Govro, Jeanne, active 17th century",former owner,,,,,,
"Lambert, Henri",former owner,,,,,,
"Lewis, John James",former owner,,,,,,
"Ovid, 43 B.C.-17 A.D. or 18 A.D.",author,,,,,,
"Siccus, Johannes Baptista",former owner,,,,,,
"Bowes, William Blakiston, 1691-1721",former owner,,,,,,
"Savonarola, Girolamo, 1452-1498",author,,,,,,
"Lalemant, Gabriel",former owner,,,,,,
"Meerman, Gerard, 1722-1771",former owner,,,,,,
"Meerman, Johan, 1753-1815",former owner,,,,,,
"Black, William Henry, 1808-1872",former owner,,,,,,
"Royer, J. T",former owner,,,,,,
"Ogden, W. S",former owner,,,,,,
"Collège de Clermont (Paris, France)",former owner,,,organization,,,
"Frezzi, Federico, approximately 1346-1416",author,,,,,,
"Âli, Mustafa bin Ahmet, 1541-1599",author,عالى، مصطفى بن احمد. 1541-1599,,,,,
"Bunck, R. J., Rev",former owner,,,,,,
"Halhed, Nathaniel Brassey, 1751-1830",author,,,,,,
"Minutoli-Tegrimi, Eugenio, Conte",former owner,,,,,,
"Jayadeva, active 12th century",author,,http://id.loc.gov/authorities/names/n50082235,,,,
"Cavalca, Domenico, -1342",author,,,,,,
"Dante Alighieri, 1265-1321",author,,,,,,
"Cagnolis, Augustinus de",former owner,,,,,,
"Silva, Donato Ferdinando Antonio, 1690-1779",former owner,,,,,,
"Silva, Ercole, 1756-1840",former owner,,,,,,
"Adda, Gerolamo, marchese d', 1815-1881",former owner,,,,,,
"Murray, Charles Fairfax, 1849-1919",former owner,,,,,,
"Edwardes, Henry Hope, 1829-1900",former owner,,,,,,
"Seneca, Lucius Annaeus, approximately 4 B.C.-65 A.D.",author,,http://viaf.org/viaf/90637919,,,,
Appiano family,former owner,,,,,,
"Ibn Maʻrūf, Muḥammad ibn ʻAbd al-Khāliq, active 15th century",author,ابن معروف، محمد بن عبد الخالق،، active 15th century,,,,,
"Pulci, Bernardo",author,,,,,,
"Pulci, Antonia",author,,,,,,
"Crevenna, Pietro Antonio, 1736-1792",former owner,,,,,,
"Heber, Richard, 1773-1833",former owner,,,,,,
"Techener, J. 1802-1870",former owner,,,,,,
"Barrois, Joseph, approximately 1785-1855",former owner,,,,,,
"Ashburnham, Bertram Ashburnham, Earl of, 1797-1878",former owner,,http://id.loc.gov/authorities/names/n82255127,,,,
"Philip II, King of Spain, 1527-1598",author,,,,,,
"ʻĀmilī, Bahāʼ al-Dīn Muḥammad ibn Ḥusayn, 1547-1621",author,عاملي، بهاء الدين محمد بن حسين، 1547-1621,,,,,
"Kirkup, Seymour Stocker, 1788-1880",former owner,,,,,,
"Wilde, William C. K. 1852-1899",former owner,,,,,,
"Qāʼit Bāy, Sultan of Egypt and Syria, -1496",author,قايتباي، سلطان مصر وسوريا،، -1496,,,,,
"Hamilton, William Alexander Louis Stephen Douglas-Hamilton, Duke of, 1845-1895",former owner,,,,,,
"San Giorgio maggiore (Monastery : Venice, Italy)",former owner,,,organization,,,
"Giorgio, d'Alemagna, active 1441-1479",illuminator,,,,,,
"Llangattock, John Allan Rolls, Baron , 1837-1912",former owner,,,,,,
"Norton, Andrew, of Bristow",author,,,,,,
"Bruno Iohannis, de Davantria, active 1446-1454",author,,,,,,
"Benvenutus, de Imola, -1387 or 1388",author,,,,,,
"Bartholomew, of San Concordio, 1262-1347",author,,,,,,
"Wilde, Ricardo Enrico de",former owner,,,,,,
Saʻdī,author,,,,,,
"Vrelant, Guillaume, -1481",author,,,,,,
"Buturlin, Dmitrīĭ Petrovich, 1763-1829",former owner,,,,,,
"Bools, W. E., Esq",former owner,,,,,,
"Olschki, Leo S. 1861-1940",former owner,,,,,,
"Ricardus, de Mediavilla, approximately 1249-1308?",author,,,,,,
"Linterno, Marchese",former owner,,,,,,
"Visconti Modrone, C. Duca",former owner,,,,,,
"Bruschetti, Giuseppe, active 19th century",former owner,,,,,,
"Schiepatti, Gaetano, active 19th century",former owner,,,,,,
"Arrigoni, Luigi",former owner,,,,,,
"Buckler, William H",former owner,,,,,,
"Certosa di Garegnano (Milan, Italy)",former owner,,,organization,,,
"McGirr, Newman F., 1877-1952",former owner,,,,,,
"Doni, Anton Francesco, 1513-1574",author,,,,,,
"Beer, John T",former owner,,,,,,
Leonardo Nogarolo,author,,,,,,
"Clamanges, Nicolas de, 1363 or 1364-143",author,,,,,,
Azo of Bologna,author,,,,,,
"Augustine of Hippo (354-430), Saint",author,,,,,,
"Jean-Baptiste Ganiare, Baron de Joursanvault (1748-1792)",former owner,,,,,,
