record,recordLabel,roleLabel,nameString,nameLabel
https://catalog.digital-scriptorium.org/entity/Q18286,"Sehr schone trost spruche fur die engstigen gewissen, welche der Erwirdige und selig man D. Martin Luther so ehr tzum hochwirdigen Sacramentum gangen, vielmaln gebraucht hatt : (DS3985)",Former owner,"H., C",
https://catalog.digital-scriptorium.org/entity/Q44954,Concession of land (DS10284),Associated agent,"Antonio Lauro, chaplan of S. Salvatore, preparer of document",
https://catalog.digital-scriptorium.org/entity/Q44975,Institutiones grammaticae; On Diphthongs (DS10291),Scribe,"""B""",
https://catalog.digital-scriptorium.org/entity/Q44978,Summa de poenitentiae; Summa de matrimonio (DS10292),Former owner,Stamp of a black Maltese cross on the first text page.,
https://catalog.digital-scriptorium.org/entity/Q45473,Horae beatae Mariae virginis (Sarum use) (DS10457),Former owner,Latham family,
https://catalog.digital-scriptorium.org/entity/Q45491,Horae beatae Mariae virginis (use of Rome) (DS10463),Former owner,Merlemont family,
https://catalog.digital-scriptorium.org/entity/Q45734,Rules of the confraternity and school (DS10544),Author,"Confraternity of St. Silvester (Zadar, Croatia)",
https://catalog.digital-scriptorium.org/entity/Q45776,Livre de la chass; with Llull's Livre de l'ordre de chevalerie (DS10558),Former owner,Gonthaut-Saint-Blanchard family,
https://catalog.digital-scriptorium.org/entity/Q45836,Calligraphic alphabets (DS10578),Author,"V., F. H. L.",
https://catalog.digital-scriptorium.org/entity/Q46073,Graduale Fratrum Minorum secundum consuetudinem romane curie (DS10657),Former owner,Ball Collection,
https://catalog.digital-scriptorium.org/entity/Q46076,Graduale Fratrum Minorum secundum consuetudinem romane curie (DS10658),Former owner,Ball Collection,
https://catalog.digital-scriptorium.org/entity/Q46172,Ennarationes in Psalmos 101-150 (DS10690),Former owner,Bateman family,
https://catalog.digital-scriptorium.org/entity/Q46277,Diploma; awarded to Pompeius de Letis (DS10725),Author,Collegio dei dottore giusti di Napoli,
https://catalog.digital-scriptorium.org/entity/Q46292,Antiphons and prayers for Marian feasts (DS10730),Former owner,Schenck'sche Fide-Kommiss-Bibliothek,
https://catalog.digital-scriptorium.org/entity/Q46406,Opera varia (DS10768),Former owner,Holt family,
https://catalog.digital-scriptorium.org/entity/Q46442,Heures de Nôtre Dame (use of Troyes and Sens) (DS10780),Former owner,Habert du Berry d'Artois family,
https://catalog.digital-scriptorium.org/entity/Q46628,Profectus religiosorum (DS10842),Former owner,Bibliotheca Beggadorum,
https://catalog.digital-scriptorium.org/entity/Q46796,Schachzabelbuch (DS10898),Former owner,"Fürstlich Dietrichstein'sche Fideicomiss-Bibliothek, Mikulov, Moravia",
